training,test
303.49021105448406,278.22849685668945
236.6241852315267,221.18915725708007
212.2617768351237,205.7140983581543
200.54389289855956,197.32852462768554
193.55463233947754,192.52971252441407
188.64310658772786,188.1722383117676
185.5451347351074,185.482978515625
183.53549379984537,183.74380935668944
182.1143042755127,182.40761672973633
180.96835421244305,181.1624806213379
179.95034278869628,180.32156143188476
179.11171358744303,179.43158935546876
178.3351806640625,178.66427658081054
177.66564816792805,177.99391525268555
177.02674359639485,177.39853302001953
176.4381652069092,176.84185012817383
175.86413614908855,176.21067779541016
175.32402872721354,175.71080230712892
174.7639071146647,175.13508041381837
174.26284627278645,174.8282032775879
173.71933924357097,174.1793243408203
173.22634534200031,173.70734024047852
172.77146102905274,173.3382696533203
172.2917904917399,172.8809210205078
171.8535730489095,172.40012329101563
171.39125918070476,171.99295623779298
170.98089230855305,171.69398086547852
170.58288393656412,171.12149337768554
170.1635548909505,170.749874420166
169.76249193827312,170.55275817871095
169.39827242533366,169.8732162475586
169.002738087972,169.45406784057616
168.65352895100912,169.5350390625
168.28767178853352,168.92167404174805
167.92723503112794,168.50006469726563
167.60640907287598,168.1451499938965
167.2604999287923,167.8286767578125
166.95322397867838,167.77012329101564
166.6383480580648,167.28180007934571
166.32575770060222,167.04437683105468
165.99028566996256,166.71128311157227
165.7278848775228,166.52840103149413
165.43511576334635,166.20116409301758
165.14545148213705,165.95829971313478
164.85709292093912,165.89874572753905
164.58887842814127,165.50579116821288
164.307859471639,165.12880432128907
164.043968556722,164.93408432006837
163.78867805480957,164.64312026977538
163.55930994669598,164.56204421997072
163.28444068908692,164.26609283447266
163.02395482381186,163.99500518798828
162.77586306254068,163.96341888427733
162.54810679117838,163.42764419555664
162.3310989634196,163.32929412841796
162.05807978312174,163.36127624511718
161.87338432312012,163.18709121704103
161.6337466684977,163.00804702758788
161.43843203226726,162.83548431396486
161.21882975260417,162.5204899597168
161.0334730275472,162.43946029663087
160.8067514038086,162.3601223754883
160.63225168863931,161.99546081542968
160.39400428771972,161.83391906738282
160.18460871378582,161.64818756103514
159.99950091044107,161.30652725219727
159.80789606730144,161.21230514526368
159.60029904683432,161.01650009155273
159.3967144012451,161.0998829650879
159.18430694580078,160.8050387573242
159.02124369303385,160.66604751586914
158.77980812072755,160.5331755065918
158.60886929829914,160.39248062133788
158.40457911173502,160.09352111816406
