training,test
285.54717447916664,233.99571487426758
214.6672221628825,206.677861328125
202.017908299764,198.5140515136719
193.62136850992837,191.20093154907227
188.02044588724772,186.9932420349121
184.04384755452475,184.104033203125
180.27545509338378,181.3836636352539
176.22088752746583,177.29812942504884
173.1785678354899,174.67976638793945
170.96191586812338,172.72080856323242
169.06859703063964,170.6294267272949
167.48696909586587,169.0287857055664
165.937672068278,167.27021911621094
164.46257578531902,165.62202987670898
162.9540816752116,164.1651203918457
161.52609199523926,162.65678970336913
160.10486991882325,161.2326629638672
158.7916670735677,159.84069702148437
157.50512786865235,158.69915313720702
156.27519147237143,157.04937774658202
155.14517387390137,155.82578735351564
154.0803081512451,155.00291748046874
153.1145917256673,154.37705642700195
152.23179056803386,153.47354080200196
151.40039800008137,152.40548141479493
150.57052040100098,151.51984970092772
149.80996592203775,150.77036117553712
149.07610211690266,150.11837158203124
148.36759134928386,149.68188385009765
147.7281369527181,148.7858364868164
147.16541783650717,148.5142658996582
146.58166179656982,147.7627098083496
146.06405372619628,147.2186116027832
145.57439376831056,146.89131782531737
145.10870529174804,146.3409017944336
144.67677640279135,146.04664932250978
144.2726634724935,145.62776931762696
143.86013009389242,145.05331008911133
143.4736181894938,144.77552207946778
143.11450466156006,144.38082321166993
142.74711256663005,144.31841171264648
142.43446620941162,143.77950553894044
142.10218008677165,143.50843711853028
141.80568342844646,143.07130157470704
141.51490072886148,142.88187705993653
141.21965471903482,142.6850636291504
140.96903900146484,142.51561515808106
140.71795106252034,142.24189643859864
140.46391518910727,141.9839779663086
140.25237012227376,141.8968948364258
140.0283345667521,141.6163536834717
139.8147467803955,141.3362744140625
139.5988346481323,141.29844619750978
139.3961689122518,140.9373638153076
139.20046051025392,140.8696417236328
139.0125575129191,140.72056770324707
138.8096650695801,140.45313201904298
138.63628271738688,140.2322325897217
138.477118695577,140.29409393310547
138.27733346303305,139.86676277160643
138.1044209543864,139.8622370147705
137.95957242329916,139.68815254211427
137.81449963887533,139.6413808441162
137.66307682037353,139.38226181030274
137.52557264963787,139.26952041625975
137.38245184580484,139.07731002807617
137.24230317433674,139.03579818725586
137.0877642695109,139.0169361114502
136.93221154530843,138.82076889038086
136.82464998881022,138.9019059753418
136.69505502065022,138.6109585571289
136.53082706451417,138.7186043548584
136.45020140329996,138.68157760620116
136.33224688212076,138.35032646179198
136.1809293746948,138.2823168182373
136.08158884684244,138.097786026001
135.94424728393554,137.90117225646972
135.8192035293579,138.12525459289552
135.73001861572266,137.9035614013672
135.60973519643147,137.77766563415528
135.5081368637085,137.6414682006836
135.37155960083007,137.75797172546388
135.2848350016276,137.54858848571777
135.18293286641438,137.34255599975586
135.06255930582682,137.35327247619628
134.9676221593221,137.402427444458
134.8765596008301,137.0556297302246
134.76800839742026,137.10559593200685
134.6729263941447,137.22021560668946
134.5918258412679,137.04010231018066
134.47771900177003,137.0108776855469
134.378351020813,136.93642395019532
134.30326077779134,136.77025779724121
134.21475893656412,136.85584899902344
134.13821818033855,136.60498275756837
134.03204644521077,136.5772324371338
133.97371154785156,136.60891105651856
