training,test
309.50627095540364,307.56978607177734
301.2571838887533,298.8902587890625
260.5349464162191,227.80575866699218
216.8402295176188,209.22194137573243
203.17977444966635,198.59104766845704
193.78908442179363,190.12726196289063
186.2828726196289,183.2286585998535
179.39257672627767,176.77899627685548
173.6162810007731,171.46157897949217
169.44445124308268,167.7288505554199
166.23460426330567,164.90600982666015
163.69759305318198,162.75170578002928
161.57629422505696,160.642977142334
159.7064231109619,158.7295426940918
157.9770618947347,157.15943069458007
156.3636644744873,156.1415399169922
154.96103813171388,154.16417419433594
153.64250216166178,153.19331848144532
152.53051694234213,152.0492449951172
151.45655705769857,150.7792333984375
150.48615877787273,150.48314193725585
149.6321373240153,149.44113250732423
148.82290756225586,148.67625747680665
148.10753494262696,147.86202941894533
147.40473960876466,147.6036392211914
146.75547526041666,146.33768035888673
146.16426681518556,146.0207391357422
145.54880765279134,145.2998469543457
144.99867968241372,144.45168090820312
144.4482728322347,144.0397100830078
143.8765374883016,143.7688508605957
143.3931566874186,143.05878707885742
142.95482963562011,142.6162431335449
142.43615169525145,142.11668884277344
141.96750233968098,141.61908279418947
141.5728388849894,141.11738090515138
141.14198322296141,140.6987883758545
140.74495583852132,140.36519966125488
140.35522108713786,140.0891584777832
140.0262607828776,139.9181893157959
139.62232922871908,139.46030471801757
139.29691619873046,139.0476978302002
138.94978050231933,138.668390045166
138.60564743041994,138.5515793609619
138.29258611043295,138.04661430358885
137.97630911509196,137.76882705688476
137.66143704732258,137.73625198364257
137.3874631245931,137.32377479553222
137.08633735656738,136.80362442016602
136.78523534138998,136.66234817504883
136.48224639892578,136.3300170135498
136.22105745951333,136.22985214233398
135.93421474456787,135.88500656127928
135.66120058695475,135.75190788269043
135.41160948435464,135.3637038421631
135.12980368296306,135.0577557373047
134.91135000864665,134.890595703125
134.66347085316977,134.76881172180177
134.42064514160157,134.44514274597168
134.21000878651938,134.1282244873047
133.96602965037027,134.0433376312256
133.72617188771565,133.95762046813965
133.57311191558838,133.67346702575685
133.27598035176595,133.4560284423828
133.11217018127442,133.3248341369629
132.90553909301758,133.18972885131836
132.72523802439372,132.8887397003174
132.51714190165202,132.91793647766113
132.37045859018963,132.672459564209
132.14526817321777,132.4830694580078
131.97063168843587,132.41664024353028
131.7962744776408,132.23237701416016
131.6406434249878,132.00602546691894
131.47950014750162,131.83085235595703
131.32744916280112,131.78997833251952
131.14566658020019,131.622689743042
130.97038158416748,131.6910954284668
130.85428975423176,131.13689109802246
130.68439690907798,131.23789184570313
130.53223114013673,131.06961166381836
130.37630053202312,130.93105613708497
130.25324309031168,131.0871852874756
130.09518330891927,130.74419059753419
129.95077138264975,130.89548683166504
129.83503541310628,130.4950456237793
129.6476087697347,130.4522412109375
129.56231620788574,130.59513465881346
129.44828192392984,130.1759481048584
129.29442006429036,130.07555923461913
129.17650800069174,130.07077667236328
129.06316407521567,129.8613533782959
128.96161808013915,129.81407516479493
128.83622997283936,129.7303260040283
128.72654418945314,129.61126571655274
128.57654478708903,129.60308700561524
128.4756909306844,129.49198539733888
128.34602531433106,129.3019499206543
128.22665117899578,129.43850578308104
128.13817885080974,129.23117462158203
128.010061378479,129.07689247131347
127.91680360158284,128.97054168701172
127.79768803914388,128.83750030517578
127.72960395812989,128.88352920532228
127.57135690053305,128.6916261291504
127.45680355072021,128.88318305969239
127.43293689727783,128.86298751831055
127.31467483520508,128.58122703552246
127.1969142405192,128.6605303955078
127.15062779744466,128.382017288208
127.03679787953695,128.3986173248291
126.90817225138346,128.06753105163574
126.85731545766194,128.1413380432129
126.76501592000325,128.38354972839355
126.67504430135091,128.0978353881836
126.56322724660238,127.90661239624023
126.48510508219401,128.1011368560791
126.41701263427734,128.02164627075194
126.28770771026612,127.80282363891601
126.23169556935628,127.7751602935791
126.15485946655274,127.7133186340332
126.0725292078654,127.71745765686035
125.98725990295411,127.74384117126465
125.91906923929851,127.69566421508789
125.86088863372802,127.53508514404297
125.7789668528239,127.5097900390625
125.68669319152832,127.22219718933106
125.60785495758057,127.44199348449708
125.5208821105957,127.23312370300293
125.48728163401286,127.1931869506836
125.38607425689698,127.2938077545166
125.31332770029704,127.29704627990722
125.21876795450846,127.17863563537598
125.18710366566975,127.00057579040528
125.09480574289958,126.94616561889649
125.01869202931722,127.09306587219238
124.99558071136475,127.06795959472656
124.92755063374837,127.16618667602539
124.80886782328288,126.8915209197998
124.78470377604167,126.98919837951661
124.70248725891113,126.88506912231445
124.63450841267904,126.74822586059571
124.56346007029215,126.653316116333
124.50002295176188,126.50313552856446
124.4502121480306,126.56214126586914
124.35999683380128,126.41419532775879
124.313150583903,126.4775015258789
124.24557060241699,126.78678443908692
124.19226721445719,126.2560563659668
124.15322962443034,126.5202505493164
124.08551698048909,126.47566955566407
123.99313353220622,126.55325958251953
123.97067653656006,126.08456115722656
123.93577629089356,126.24755577087403
123.84859093983968,126.1706827545166
123.79470704396566,126.2189387512207
123.69669027964274,125.93789169311523
123.69237902323405,126.06531364440917
123.61366742451986,125.80347541809083
123.5314486058553,126.13544090270996
123.50721261342366,125.83809692382812
123.46088912963867,125.73460479736327
123.38251675923665,126.24426284790039
123.37219460805257,126.0725259399414
123.33100345611572,125.745302734375
123.27593254089355,125.68786506652832
123.20127843221029,126.00556587219238
123.15645122528076,125.56581741333008
123.09568091074625,125.50384094238281
123.07067085266114,125.68716011047363
123.04028840382894,125.44984237670899
122.93509222666422,125.50056144714355
122.9036229578654,125.68949684143067
122.86456859588623,125.37458839416504
122.81425786336263,125.74699722290039
122.73488313039144,125.71038230895996
122.68867774963378,125.5197624206543
122.66636332194011,125.2872760772705
122.60667238871257,125.53425125122071
122.50450546264648,125.52346633911132
122.53897146860758,125.25437843322754
122.49754061381022,125.13535865783692
122.4337127049764,125.1529588317871
122.33660488128662,125.4453345489502
122.33091821034749,125.08789154052734
122.27468297322591,125.17933456420899
122.2181005859375,125.47732322692872
122.21277403513591,125.43841926574707
122.15878733317058,125.14284942626954
122.09926465352376,125.40006820678711
122.09009740193684,125.08448997497558
121.97796620686849,125.04855079650879
121.96856272379557,125.19919128417969
121.94781433105469,125.14118186950684
121.9109401321411,125.24037643432617
121.82063793182373,125.14238845825196
121.84198707580566,124.93544204711914
121.7741254043579,125.04770278930664
121.72399340311686,124.9048007965088
121.6747920481364,124.88895935058594
121.66464740753173,124.98072967529296
