training,test
307.17948750813804,303.19350341796877
285.9694518788656,245.32585250854493
217.5843711598714,207.44314224243163
202.2845682779948,200.0877780151367
196.48766980489094,195.27934921264648
192.114670308431,190.65541473388672
186.9342364501953,184.58842132568358
180.48850713094075,177.83737213134765
174.13578585306803,170.9755632019043
166.72734792073567,163.66744079589844
160.1317456563314,157.4931935119629
154.5976136525472,152.090333404541
150.07874732971192,147.8026608276367
146.31238765716552,144.62770065307618
142.6887340291341,140.92043426513672
139.53825392405193,137.53005836486815
136.81900170644124,135.36331855773926
134.33123189290365,132.65457809448242
132.08613460540772,130.69155738830565
129.9823321024577,128.61216987609862
128.26968746185304,127.55740737915039
126.5874267578125,126.28727546691894
125.28616288503011,125.32108612060547
124.06283109029134,124.14012168884277
123.00857231140137,122.20804183959962
122.04249443054199,121.12578987121582
121.2048577372233,120.4232470703125
120.3630751546224,119.79110641479492
119.70205510457357,118.91839447021485
119.06255458831787,118.68971801757813
118.40473978678385,117.95986640930175
117.81490633646648,117.43368690490723
117.28495447794596,117.30016494750977
116.8608672205607,116.54107048034668
116.31559931437174,115.67743263244628
115.94407657623292,115.93610946655274
115.4701174290975,115.32236991882324
115.13109888712565,114.33355949401856
114.69462464650472,114.01011558532714
114.37387860616049,114.4154588317871
114.11725482940673,113.69185905456543
113.76191660563151,113.34919548034668
113.45612091064453,113.1735945892334
113.11052898406983,112.64172973632813
112.89167282104492,112.31807388305664
112.59742982228597,112.3179557800293
112.33069304148356,112.43012741088867
112.104201075236,112.00825180053711
111.90165269215902,111.57977180480957
111.68932150522868,111.22543952941895
111.45562224070231,111.1054997253418
111.26076146443685,111.03422950744628
111.05404885609944,110.94335388183593
110.8821561050415,110.28982429504394
110.61247032165528,110.85664833068847
110.48509437561034,110.49609359741211
110.32416290283203,110.37311820983886
110.13563241322835,110.11199508666992
109.99974730173747,109.80312026977539
109.81440677642823,109.38770248413086
109.65847798665365,109.50199157714843
109.53377128601075,109.17531265258789
109.32671769460042,109.19007278442383
109.26836554209392,109.75466438293456
109.12117321014404,109.24878524780273
108.94118699391683,109.61704162597657
108.8666386159261,109.15697677612305
108.66306507110596,108.45741569519043
108.62120263417562,108.30279571533202
108.44299054463704,108.47327514648437
108.31960330963135,108.22012969970703
108.18261274973551,108.30692779541016
108.1173707707723,108.44529479980469
108.01676391601562,108.00225463867187
107.87888654073079,108.39631134033203
107.79497598012289,108.12982063293457
107.63799278259278,107.61909217834473
107.54267866770427,107.8283228302002
107.53911922454834,107.7797102355957
107.37858456929524,107.47030830383301
107.25239634195964,107.56554405212403
107.22328908284506,107.54327133178711
107.08662265777588,107.44561889648438
107.00595439910889,107.52529518127442
106.94844837188721,107.3500112915039
