training,test
221.3227222442627,191.378565826416
179.86303418477377,170.61559310913086
166.18532203674317,162.71947921752928
159.84818893432617,157.6199931335449
155.48123059590657,153.95741149902344
152.4829042561849,151.58855926513672
150.23984934488934,149.66605308532715
148.42612670898438,148.19029800415038
146.86260040283204,147.07275955200194
145.55420049031576,145.3865885925293
144.40249108632406,144.42440788269042
143.36115400950115,143.5413385772705
142.4641321818034,142.88730682373046
141.61835830688477,142.09413833618163
140.84706859588624,141.3373281097412
140.21641653696696,140.786763381958
139.5710992685954,140.03118698120116
138.99103656768798,139.67849800109863
138.49595481872558,139.2316522216797
138.0535011545817,139.10666038513185
137.5791575495402,138.44441932678222
137.1972918065389,138.40299545288087
136.80363051096597,137.74429260253908
136.45813439687092,137.4490008544922
136.156848487854,137.39174118041993
135.8385781987508,136.94482139587402
135.55094024658203,136.68724212646484
135.25474397023518,136.4947437286377
134.9887703704834,136.09044624328612
134.73988784790038,135.9774666595459
134.4898155593872,135.82356658935547
134.27003476460774,135.57567710876464
134.0385547129313,135.32388748168944
133.81445678710938,135.3904948425293
133.64209665934246,135.03475021362306
133.41331539154052,134.8653108215332
133.21950654347737,134.70760871887208
133.06146297454833,134.69769538879393
132.82797981262206,134.3748030090332
132.68681299845377,134.1886826324463
132.52536844889323,134.22889907836915
132.366339747111,134.24253868103028
132.17891583760579,134.18958114624024
132.05001965840657,133.8782804107666
131.92232062021893,133.82929176330566
131.7276608022054,133.763397064209
131.61162114461263,133.43802742004394
131.4845224380493,133.59261032104493
131.3512358347575,133.48707946777344
131.25236097971597,133.25831398010254
131.10197144826253,133.17927116394043
130.97754020690917,133.06671363830566
130.84287147521974,133.1645893096924
130.74566928863524,132.8629386138916
130.61575815836588,132.82955101013184
130.5140181096395,132.74896316528321
130.43765588124595,132.51128257751463
130.31144996643067,132.51509117126466
130.22055999755858,132.49154167175294
130.12042326609293,132.3509447479248
130.01196119944254,132.6169660949707
129.9229619216919,132.2576303100586
129.8344651412964,132.18308586120605
129.7502690633138,132.11738105773927
129.65990370432536,132.25702362060548
129.5523540496826,131.90872680664063
129.50513357798258,132.19719169616698
129.40759693145753,131.81489784240722
129.29876823425292,131.86881004333497
129.24408087412516,131.77669593811035
129.1500691986084,131.73997535705567
129.04896928151447,131.63471435546876
128.99215039571126,131.7491015625
128.94071341196695,131.5456764984131
128.84563771565755,131.6460976409912
128.79677850087484,131.6921501159668
128.69053513844807,131.44509536743163
128.64468162536622,131.5342431640625
128.56807445526124,131.38610412597657
128.47578278859456,131.36011962890626
128.45292264302572,131.25285835266112
128.3525553894043,131.28853576660157
128.32533995310465,131.18654029846192
128.2608314259847,131.26042350769043
128.18251686096193,131.24825141906737
128.15745380401611,131.02546165466308
128.0413070678711,131.02988662719727
128.00572430928548,131.10349822998046
127.95897843678792,131.0974730682373
127.91107858022055,131.05772262573242
127.8174570719401,130.84802917480468
127.76818157196045,130.8281105041504
127.7191235478719,130.98877952575683
127.68228006998697,130.87115478515625
127.58265139261881,130.84132820129395
127.5389955774943,130.80170135498048
127.49619744618734,130.97138801574707
127.42950370788574,130.86985549926757
127.38715324401855,130.6689524078369
127.33453524271647,130.7662890625
127.3006540552775,130.72653350830078
127.20834135691325,130.5970223236084
127.15699178059896,130.66806030273438
127.14066548665365,130.7482706451416
127.06708164215088,130.59667671203613
127.0422089767456,130.50590507507323
126.97778570810954,130.60257331848143
126.93627126057943,130.60212188720703
126.91407529195149,130.52130310058592
126.83469720204671,130.5239352416992
126.78551158905029,130.4585873413086
126.75269981384277,130.54125633239747
126.75135173797608,130.56401321411133
126.68315437316895,130.39629432678223
126.64899130503336,130.71752655029297
126.58299741109212,130.61349220275878
126.53970068613688,130.4835725402832
126.50993553161621,130.75065979003907
126.48398535410563,130.4597339630127
126.42105903625489,130.5574964904785
126.363649075826,130.44514488220216
126.3166807937622,130.53840545654296
126.2765693918864,130.51429115295412
126.25238108317058,130.33961051940918
126.21997329711914,130.29776962280275
126.17910451253255,130.42634338378906
126.13580532073975,130.51925506591797
126.09121963500976,130.41613143920898
126.09024322509765,130.3438819885254
126.0141455078125,130.44661491394044
126.01122453053792,130.40662643432617
125.97933780670166,130.3024131011963
125.9077917734782,130.44279434204103
125.90915893554687,130.58510711669922
125.83241528828938,130.23537940979003
125.84380606333414,130.32350318908692
125.78580216725668,130.617626953125
125.76634248097737,130.30736404418946
125.68586816151937,130.2627431488037
125.69203291575114,130.30407821655274
125.64321019490559,130.52300949096679
125.58815860748291,130.29064445495607
125.599219678243,130.24919036865234
125.57847876230876,130.1345866394043
125.56211297353109,130.25722297668457
125.52377728780111,130.53701705932616
125.50419742584228,130.42379142761231
125.50961692810058,131.07091346740722
125.4349846013387,130.31673919677735
125.38992928822836,130.46149070739747
125.32228260040283,130.4262989807129
125.24868773142497,130.62482864379882
125.21467971801758,130.1207511138916
125.16422335306804,130.04462074279786
125.14510617574057,130.06079429626465
125.11049722035726,130.16851722717286
125.07962544759114,129.95395301818849
125.03685695648193,130.15637794494629
125.01309838612875,129.9661206817627
124.94942211151123,130.1670470428467
124.97556335449218,130.19912651062012
124.92418393452962,129.97894790649414
124.90208601633708,130.31404304504395
124.91756656646729,130.08277114868164
124.85346548716227,130.39758140563964
124.85420326232911,130.18301231384277
124.80561112721762,130.36498832702637
124.77585650126139,130.06246742248535
124.73126527150472,130.28685203552246
124.68970052083333,130.58702674865722
124.67844919840495,130.12541427612305
124.64704441070556,129.93233024597168
124.59947788238526,130.3681468963623
124.57595225016276,130.154422454834
124.55774870554606,130.0965510559082
124.52513960520426,130.38234268188478
124.48717273712158,130.2919506072998
124.45385475158692,130.16930183410645
124.42435909271241,130.5244896697998
124.42631773630778,130.69572685241698
124.4272299194336,130.74276863098146
124.39783036549886,130.40476753234864
124.38018733978271,130.74823715209962
124.33394055684407,130.51583656311035
124.38217653910318,130.2670110321045
124.46271017710367,129.90714111328126
124.45916029612223,129.8069689178467
124.31913920084635,129.8981421661377
124.26337608337403,129.6879711151123
124.18296244303386,129.9141869354248
124.12693059285482,130.0126683807373
124.07588406880697,130.0845027923584
124.03845609029135,130.04910804748536
124.00073996225993,129.94524787902833
124.00912640889486,130.03853538513184
123.98798071543375,130.08417961120605
123.92988754272461,130.0469556427002
