training,test
219.84954279581706,191.86733123779297
183.50571332295735,178.28227752685547
174.53880887349447,172.2565380859375
169.67701876322428,168.6287173461914
166.44484420776368,165.86188217163087
163.93818758646648,163.70685516357423
161.81969347635905,161.78317123413086
159.96113370259602,160.30159912109374
158.33126350402833,158.37414916992188
156.96375938415528,157.41985168457032
155.75878143310547,155.9246960449219
154.6208367919922,154.80679809570313
153.59904373168945,153.84797912597656
152.6412494659424,152.94411376953124
151.77921913146972,152.46777709960938
151.02825291951498,151.73168533325196
150.3342970530192,150.8901387023926
149.66959167480468,150.27718307495118
149.12977460225423,149.89897109985353
148.58198115030925,149.3472055053711
148.07162715911866,148.80802810668945
147.5974495569865,148.3175260925293
147.17321080525716,148.27461700439454
146.78001604715982,147.64607864379883
146.42067775726318,147.6154035949707
146.10165537516275,147.03184463500978
145.77134332021078,146.77816528320312
145.43391743977864,146.47953964233398
145.1272520319621,146.17321418762208
144.83946723937987,145.8852761077881
144.61614933013917,145.78128616333007
144.35224141438803,145.49602851867675
144.091566212972,145.28614524841308
143.86525060017902,145.17236419677735
143.65486198425293,144.99908248901366
143.44297819773357,144.77606544494628
143.2154086558024,144.9826239013672
143.045424079895,144.4315101623535
142.84214083353677,144.44311012268065
142.67540297190348,144.16089263916015
142.50791439056397,144.07427131652832
142.31869438171387,143.94842346191408
142.17576872507732,143.70787704467773
142.02668613433838,143.69098281860352
141.8493618138631,143.70739936828613
141.67862731933593,143.43214218139647
141.5343272145589,143.58220420837404
141.41526158650717,143.4386215209961
141.25575887044272,143.22234786987303
141.14910085042317,143.27264762878417
141.01971591949462,143.14201034545897
140.9005722427368,142.7728249359131
140.77810387929281,142.79906471252443
140.6177835591634,142.58397064208984
140.51187651316326,143.18884384155274
140.3990042622884,142.73733741760253
140.3106021372477,142.54901527404786
140.19611844380697,142.56070777893066
140.05279956817628,142.2675746154785
139.9765424601237,142.71588317871092
139.88032545725505,142.19617515563965
139.7756246058146,142.0230490875244
139.69447792053222,142.18307090759276
139.59144385019937,141.9729995727539
139.49986139933267,141.9129541015625
139.41365796407064,141.9267430114746
139.32166337331137,141.77874992370604
139.20658557891846,141.7791933441162
139.14654057820638,141.9350693511963
139.06010144551595,141.66973739624024
138.99460536956786,141.68974472045898
138.90653854370117,141.6709532928467
138.83470076243083,141.8306871032715
138.74880349477132,141.42581024169922
138.68028542836507,141.54916259765625
138.58456061045328,141.3770890045166
138.54123110453287,141.39512786865234
138.45717164357504,141.19141738891602
138.39375478108724,141.23650382995606
138.31928881327312,141.25265533447265
138.25511516571044,141.36610877990722
