training,test
246.68575927734375,220.45440170288086
210.13449610392252,204.80320007324218
202.77998832702636,201.02111190795898
199.6465640004476,198.26302185058594
197.0576028442383,195.86389389038087
194.93887613932293,194.03388275146483
193.23712394714354,192.44829956054687
191.76168574015298,191.06829666137696
190.4992970530192,189.94689834594726
189.38113393147788,188.9503550720215
188.41991765340168,188.05519836425782
187.55789377848308,187.22631469726562
186.75235407511394,186.5778143310547
186.02447204589845,185.96521118164063
185.3751756286621,185.44283737182616
184.79239542643228,184.77213607788087
184.1914818318685,184.3103028869629
183.65887550354003,183.82507919311524
183.16727785746255,183.25385162353516
182.69396224975586,182.98299240112306
182.24209836324056,182.46694534301758
181.80974634806316,182.02245712280273
181.38197176615398,181.84379043579102
181.0277195994059,181.4290023803711
180.63695452372232,181.0910787963867
180.30291829427082,180.82173629760743
179.97906392415365,180.44755752563478
179.64461708068848,180.18603637695313
179.31112973531089,180.0551301574707
179.0187498219808,179.68039154052735
178.73387110392252,179.5183532714844
178.472570215861,179.1924969482422
178.19689732869466,179.1086004638672
177.940537109375,178.78792236328124
177.72444595336913,178.71721115112305
177.4644696044922,178.4976170349121
177.22017684936523,178.3015625
176.99993944803873,178.19652084350585
176.790574315389,178.03961105346679
176.56624483744304,177.8855030822754
176.3683293914795,177.6290753173828
176.15804003397625,177.43091674804688
175.99400090535482,177.5200685119629
175.80776153564454,177.29122726440428
175.6213670349121,177.15141006469727
175.42385833740235,177.27391723632812
175.25362149556477,176.87830963134766
175.09514704386393,176.81116973876954
174.90217511494956,176.5926901245117
174.75857343037924,176.66994140625
174.60033922831218,176.4744401550293
174.44729647318522,176.2767185974121
174.2907069905599,176.19161697387696
174.12024426778157,176.15701034545899
173.99582901000977,176.05371871948242
173.8701897684733,175.8533106994629
173.74562777201334,175.85968338012697
173.58570353190103,175.7662776184082
173.41085807800292,175.6537469482422
173.30325602213543,175.54513961791992
173.15538324991863,175.4494009399414
173.01820401509602,175.39349746704102
172.91054761250814,175.2650573730469
172.80024940490722,175.27035522460938
172.67188496907553,175.1809111022949
172.5670006306966,175.06510971069335
172.4165368906657,175.0074024963379
172.3186762746175,175.02668350219727
172.20472061157227,175.01321914672852
172.1075473531087,174.86556213378907
171.98164916992187,174.8195196533203
171.88212753295898,174.79502395629882
171.78718256632487,174.76424438476562
171.63606486002604,174.7371627807617
171.56384811401367,174.65193496704103
171.44348978678386,174.64767120361327
171.396804300944,174.55513870239258
171.28158223470052,174.634715423584
171.22679679870606,174.68051330566405
171.10135058085123,174.83493728637694
170.99385785420736,174.4442272949219
170.89487719217937,174.5513606262207
170.83707356770833,174.38585388183594
170.7361913808187,174.4072526550293
170.65892021179198,174.3173554992676
170.57251172383627,174.3475357055664
170.48450342814127,174.27628555297852
170.38836438496907,174.28760375976563
170.3242167154948,174.14413177490235
170.1979485321045,174.08328567504884
170.12184733072917,174.12044097900392
170.02667399088543,173.98261199951173
169.96003832499187,174.05141036987305
169.90100878397624,174.187752532959
169.80327227274577,174.06587768554687
169.71738815307617,174.2928039550781
169.64853469848632,174.08103637695314
169.5689837137858,174.03458099365236
169.49155906677245,173.87477157592772
169.46055305480957,173.94940826416016
169.3613141886393,174.01008178710939
169.3125842030843,173.96243545532226
169.29863817850747,173.77931732177734
169.22391148885092,173.82055740356446
169.15104937235515,173.9051934814453
169.09493471781414,173.77939208984375
169.0722906748454,174.05730728149413
168.96521598815917,173.9787170410156
168.90773768107096,173.8051737976074
168.85767181396486,173.91116729736328
168.77025080362955,173.73825912475587
168.6797024790446,173.69678100585938
168.573367284139,173.85358505249025
168.53939565022787,173.70583435058595
168.44580505371093,173.6112905883789
168.3994033050537,173.65339004516602
168.33023264567058,173.70069427490233
168.2484775797526,173.55759033203125
168.22877772013345,173.6406980895996
168.21397323608397,173.6831704711914
168.11228777567547,173.5727310180664
168.02783648173013,173.7338916015625
167.94314005533855,173.65244705200195
167.92951637268067,173.44373336791992
167.8752332051595,173.6224740600586
167.79063776652018,173.6112139892578
167.7512188212077,173.78441940307619
167.7095896911621,173.56874069213868
167.68184898376464,173.7028028869629
167.6088904062907,173.70374313354492
167.56317123413086,173.78064666748048
167.54436851501464,174.04651275634765
167.4979453277588,173.93204208374024
167.5036419423421,173.9494450378418
167.54412289937338,173.73112686157228
167.52651898701987,174.10814880371095
167.48631406148274,174.44587142944337
167.46135063171386,174.43092971801758
167.42758104960123,173.80497940063478
167.34463267008462,173.68025146484376
167.25406962076823,173.61202743530274
167.14245913187662,173.58384674072266
167.0701765950521,173.74064041137694
166.95563568115233,173.74698608398438
166.87587916056316,173.67792373657227
166.77680608113607,173.72342208862304
166.7352766418457,173.58990509033202
166.69235438028971,173.63192687988283
166.62777417500814,173.63049270629884
166.5675338236491,173.66587936401368
166.50748202006022,173.6658415222168
166.4941207377116,173.66751342773438
166.43849988301596,173.71141983032226
166.42620869954428,173.4447526550293
166.34083231608074,173.75653366088866
166.3261900583903,173.66976455688476
166.29379559834797,173.75870086669923
166.24042012532553,173.65201766967775
166.2489904022217,173.63568496704102
166.23702420552573,173.83038055419922
