training,test
245.43603558858237,223.68798263549806
217.17447260538736,214.20475036621093
212.07003809611004,210.86344985961915
209.3545627593994,208.68943893432618
207.35476252237956,206.98416793823242
205.65118980407715,205.52437377929687
204.1845734914144,204.16522491455078
202.89037803649902,203.15734375
201.80719619750977,202.18434936523437
200.9140505472819,201.37131134033203
200.11942019144695,200.67963439941406
199.46708079020183,200.07346084594727
198.86270563761394,199.62914459228514
198.28737546284992,198.96165084838867
197.71879770914714,198.5284065246582
197.19044125874836,197.9595686340332
196.7170382944743,197.68917007446288
196.23077598571777,197.34546951293945
195.77204905192056,196.74027404785156
195.31482716878256,196.38298629760743
194.9493790435791,196.06177352905274
194.60616271972657,195.6674333190918
194.21779884338378,195.33882751464844
193.93290918986003,195.27082565307617
193.5823769124349,194.72818328857423
193.22543617248536,194.4135447692871
192.9427403004964,194.43779296875
192.6348309580485,194.0799465942383
192.333345413208,193.83864013671874
192.08819297790527,193.68986251831055
191.8473139444987,193.37833984375
191.57264854431153,193.11840927124024
191.3290347035726,193.05511703491212
191.08737386067708,192.79858612060548
190.84442367553712,192.63074142456054
190.63558853149414,192.4372087097168
190.39248827616373,192.1319841003418
190.14247174580893,192.0683851623535
189.99112228393554,192.10479660034179
189.7871364593506,191.84050704956056
189.55857627868653,191.71444503784178
189.35461214701334,191.60884017944335
189.18031471252442,191.43907928466797
188.99500935872396,191.3181723022461
188.81197291056316,191.13679336547852
188.62415384928386,191.0323243713379
188.47044748942056,191.00825317382814
188.2869664001465,190.82375854492187
188.1490160624186,190.66270217895507
187.9729786936442,190.66006118774413
187.82305653889975,190.5416111755371
187.67069432576497,190.46031600952148
187.49066126505534,190.366912689209
187.3934625752767,190.37230895996095
187.23008931477864,190.17315460205077
187.03987195332846,190.1315510559082
186.9422713470459,190.10336517333985
186.79832066853842,189.98098037719726
186.66484095255535,189.89066116333007
186.52026860555014,189.76940673828125
186.39720077514647,189.76451477050782
186.26491584777833,189.58910659790038
186.1301424153646,189.50756942749024
186.01285555521648,189.42332656860353
185.8757176208496,189.53754516601563
185.76908498128256,189.37806564331055
185.64399080912273,189.22554748535157
185.51869839986165,189.31909957885742
185.42542068481444,188.9720994567871
185.34147903442383,189.1537008666992
185.21297899881998,189.18556610107422
185.08852971394856,189.04964462280273
185.0051944478353,189.09552917480468
184.91587476094563,188.96556060791016
184.74670003255207,188.87217468261719
184.68586227416992,188.9358836364746
184.5901914215088,188.6409698486328
184.50448539733887,188.65073440551757
184.36389223734537,188.56167709350586
184.25044069925943,188.51099151611328
184.1837988535563,188.57265182495118
184.1135525004069,188.3595458984375
183.98318247477212,188.39848892211913
183.91461649576823,188.53780548095702
183.79073735555014,188.26879272460937
183.72781583150228,188.19979354858398
183.595453414917,188.20129333496095
183.5319610595703,188.1603582763672
183.43069221496583,188.1240084838867
183.34387016296387,188.0706201171875
183.26430185953777,188.01861724853515
183.19544611612955,187.96844985961914
183.1334703572591,187.83893112182616
183.04043973286946,187.94739593505858
182.9789791361491,187.87418869018555
182.80572471618652,187.88045135498047
182.73623453776042,187.76499298095703
182.6630487569173,187.861134185791
182.6099124145508,187.75067779541016
182.52847969055176,187.69637481689452
182.4760502878825,187.73159881591798
182.42741826375325,187.59030303955078
182.37934893290202,187.75528564453126
182.3149759165446,187.92335830688478
182.2604279836019,188.02356323242188
182.33185419718424,187.86705184936523
182.237984085083,187.82620895385742
182.1187668100993,187.51654754638673
181.95083384195962,187.58065704345702
181.84013196309408,187.5499139404297
181.76269958496093,187.54018112182618
181.62964365641275,187.4859732055664
181.59749435424806,187.35082077026368
181.52777099609375,188.04370651245117
181.45611213684083,187.47508728027344
181.36876876831056,187.32306335449218
181.2896038309733,187.4389505004883
181.25596371968587,187.5636471557617
181.2276672108968,187.67960357666016
181.12733423868815,187.61722763061525
181.11794357299806,187.4543196105957
