training,test
247.27560941060383,225.0787666320801
215.37294507344563,204.06628143310547
195.25904546101887,190.91075119018555
188.68233192443847,186.66943984985352
184.89513671875,183.4031089782715
181.73121302286785,180.6032223510742
179.16190696716308,178.2858317565918
177.08702354431153,176.3732066345215
175.3885695139567,174.98994537353516
173.9593707529704,173.72332763671875
172.7429333496094,172.47317825317384
171.6443245188395,171.45085571289061
170.68893422444663,170.65061584472656
169.80561070760092,169.9217741394043
169.04033444722492,169.2233708190918
168.32729192097983,168.58476821899413
167.67230781555176,167.8353544616699
167.04046796162922,167.34111572265624
166.48879308064778,166.93381881713867
165.97813466389974,166.3851774597168
165.50783429463704,165.86199615478515
164.99858495076498,165.32570678710937
164.56920532226562,165.08232330322267
164.17992073059082,164.72095474243164
163.76178901672364,164.4325453186035
163.40579376220703,163.97408081054687
163.02486366271972,163.68876190185546
162.67098365783693,163.539716796875
162.35858388264975,163.09279342651368
162.04379470825197,162.87827880859376
161.7368140157064,162.54458877563476
161.42009468078612,162.35862258911132
161.1921626027425,162.1549395751953
160.8938919321696,161.76734161376953
160.64478164672852,161.697724609375
160.38433331807454,161.37198120117188
160.12985438028971,161.2176547241211
159.88792938232422,161.03092880249022
159.63069913228352,160.89711975097657
159.44384658813476,160.7340249633789
159.2077842203776,160.60990417480468
159.01962893168132,160.26895690917968
158.75444862365723,160.25966613769532
158.5959235127767,160.0405516052246
158.3634940592448,159.82671142578124
158.18475145975748,159.73063568115234
157.97677734375,159.70220916748048
157.78755917867025,159.4272773742676
157.63270863850911,159.31231231689452
157.4336614227295,159.23474060058595
157.27021898905437,159.0444627380371
157.10280296325683,158.9281610107422
156.9263772583008,158.7063362121582
156.7729389444987,158.70339324951172
156.59880551656087,158.52674057006837
156.4318495686849,158.3213639831543
156.27674730936687,158.36946197509766
156.1113535563151,158.12371444702148
155.97191144307453,158.10865798950195
155.8082344309489,157.9708171081543
155.68274454752603,157.85237564086913
155.54452011108398,157.70979202270507
155.38575907389324,157.59006546020507
155.2431345876058,157.69730392456054
155.11726877848307,157.5030924987793
154.9882189687093,157.26895492553712
154.8398692067464,157.30300231933595
154.75337964375814,157.32505661010742
154.6020342763265,157.1240020751953
154.4580157470703,157.01546279907225
154.3472582499186,156.9204948425293
154.20432762145995,156.80320495605469
154.05666109720866,156.8091426086426
153.99061581929524,156.63381256103514
153.87175254821778,156.7284437561035
153.73765841166178,156.68133880615235
153.62597267150878,156.38582748413086
153.48219698588053,156.32383010864257
153.40067995707193,156.3637545776367
153.26551561991374,156.28811630249024
153.14424260457358,156.25131927490236
153.06616943359376,155.98842987060547
152.954728418986,156.00246459960937
152.84266209920247,156.11198043823242
152.73825040181478,156.1482290649414
152.63992235819498,156.03085205078125
152.55290306091308,155.78554168701172
152.42117327372233,155.78068572998046
152.3197100575765,155.71616455078126
152.20833251953124,155.78097946166992
